signature	lineage	gene	direction	meta_logFC	source
common_81	ALL_TNK	AES	down	-0.3025672945002223	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	ANXA1	up	0.496346027306068	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	AREG	up	2.0195598447348133	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	ARF4	up	0.43966784989290836	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	ASXL1	up	0.41259177205716396	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	ATP5B	up	0.30268456720231535	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	BIRC2	up	0.29738555838677266	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	BOLA1	down	-0.5604184048116067	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	BTG2	up	1.5197324948199367	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	C12orf44	up	0.6171349814753843	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	C19orf25	down	-0.306505186521058	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	CD69	up	0.946340565720794	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	CHIC2	up	0.329255728556139	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	CHMP1B	up	0.8507161260431086	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	COQ10B	up	0.34605383573607035	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	CSRNP1	up	2.1745852514141335	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	CYCS	up	0.47668932073899634	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	CYTH4	down	-0.43330795536928496	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	CYTIP	up	0.28574045066744397	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	DUSP2	up	1.310577811188026	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	DYNLL1	up	0.5860651180015216	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	ERF	up	1.149114311723114	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	EXOG	down	-0.37363371073784907	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	GIMAP4	down	-0.5493646028364464	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	GIMAP6	down	-0.555059819881217	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	GIMAP7	down	-0.6774908512754987	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	GNAS	up	0.469487643177972	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	GTPBP1	up	0.8636944852328066	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	H3F3B	up	0.4281774441870963	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	HNRNPA0	up	0.282661050341742	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	HSPA5	up	0.5442008377671227	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	HSPA8	up	0.40520636737408466	Gate6b_persistent_stress_excluded
common_81	ALL_TNK	HSPA9	up	0.38948202432446594	Gate6b_persistent_stress_excluded
